#ITitle	MINI-LIGNE.180614.16H																			
#IInfo	 																			
#IVersion	9																			
#IDate	02/00/2048																			
!Data	Type:	F-Freq.	Domain	S-Stream	Data	T-Time	Domain													
#ST																				
!--------------------------------------																				
!System	Section																			
#SNAME	MINI_LIGNE18061416H																			
#SGDflt	0																			
#SR50Hz																				
#SHiNse																				
#SMuxN	1																			
#SXcale	1																			
#SOffset	0																			
!TX	Section																			
#XMXVlt	480																			
#XCurMx	2500																			
#XPowMx	250																			
#XVTrgt	50																			
#XITrgt	30																			
#XBtVmn	9																			
#XTmpMx	70																			
#XLrRes	1																			
#XUpRes	200000																			
!TDIP	Section																			
#TFrequ	5																			
#TStcks	3																			
#TRDely	29.999																			
#TLngtR	59.999																			
#TChrg																				
#TIPDly	2.222																			
#TNResOnly																				
!ERTLab	Header	Info																		
Electrodes	input/output	format																		
#elec_no_cable=	1																			
#elec_cable_col=	1																			
#elec_id_col=	2																			
#elec_x_col=	3																			
#elec_y_col=	4																			
#elec_z_col=	5																			
#elec_elev_col=	-1																			
#elec_type_col=	-1																			
#data_id_col=	1																			
#data_a_cable_col=	2																			
#data_a_elec_col=	3																			
#data_b_cable_col=	4																			
#data_b_elec_col=	5																			
#data_m_cable_col=	6																			
#data_m_elec_col=	7																			
#data_n_cable_col=	8																			
#data_n_elec_col=	9																			
#data_res_col=	10																			
#data_std_res_col=	11																			
#data_ip_wind_col=	-1																			
#data_std_ip_col=	-1																			
#data_i_curr_col=	14																			
#data_appres=	1																			
#data_ip_scale=	1000																			
!Electrodes																				
#elec_start																				
!Cbl#	El#	Elev-X	Elev-Y	Elev-Z	Terrn-Z	Type	El.Num													
	1	1	0	0	0	0	1													
	1	2	0.2	0	0	0	2													
	1	3	0.4	0	0	0	3													
	1	4	0.6	0	0	0	4													
	1	5	0.8	0	0	0	5													
	1	6	1	0	0	0	6													
	1	7	1.2	0	0	0	7													
	1	8	1.4	0	0	0	8													
	1	9	1.6	0	0	0	9													
	1	10	1.8	0	0	0	10													
	1	11	2	0	0	0	11													
	1	12	2.2	0	0	0	12													
	1	13	2.4	0	0	0	13													
	1	14	2.6	0	0	0	14													
	1	15	2.8	0	0	0	15													
	1	16	3	0	0	0	16													
	1	17	3.2	0	0	0	17													
	1	18	3.4	0	0	0	18													
	1	19	3.6	0	0	0	19													
	1	20	3.8	0	0	0	20													
	1	21	4	0	0	0	21													
	1	22	4.2	0	0	0	22													
	1	23	4.4	0	0	0	23													
	1	24	4.6	0	0	0	24													
	1	25	4.8	0	0	0	25													
	1	26	5	0	0	0	26													
	1	27	5.2	0	0	0	27													
	1	28	5.4	0	0	0	28													
	1	29	5.6	0	0	0	29													
	1	30	5.8	0	0	0	30													
	1	31	6	0	0	0	31													
	1	32	6.2	0	0	0	32													
#elec_end																				
!End	ERTLab	Header	Info																	
!---------------------------------------------------!																				
!Batteries	Main	12.4	Tx	12.7	TxV	0														
!Temp.	Main	32.6	Txp	22.8	Txs	22.5														
!Begin	Data	Section!																		
#data_start																				
!	ID	A	B	M	N	V/I	Std.	Amp.	Std.		Current		ContactR						Date_And_Time	Gains				Tx_V						
!	num	Ca	El	Ca	El	Ca	El	Ca	El		(Ohms)		(Ohms)				(Volts)									(Volts)							
1	1	1	1	2	1	3	1	4	-224.8034	0.071912	-3.618154	0.001157	16.09474	2952	20480200_211134	CH	1	GN	1	41.5
2	1	1	1	2	1	4	1	5	-188.7258	0.101699	-3.037495	0.001636	16.09474	2952	20480200_211134	CH	2	GN	1	41.5
3	1	1	1	2	1	5	1	6	-42.27175	0.008989	-0.680353	0.000144	16.09474	2952	20480200_211134	CH	3	GN	1	41.5
4	1	1	1	2	1	6	1	7	-21.35226	0.014212	-0.343659	0.000228	16.09474	2952	20480200_211134	CH	4	GN	2	41.5
5	1	1	1	2	1	7	1	8	-11.47249	0.004494	-0.184646	0.000072	16.09474	2952	20480200_211134	CH	5	GN	2	41.5
6	1	1	1	2	1	8	1	9	-4.328267	0.001946	-0.069662	0.000031	16.09474	2952	20480200_211134	CH	6	GN	3	41.5
7	1	1	1	2	1	9	1	10	-0.434784	0.000172	-0.006997	0.000002	16.09474	2952	20480200_211134	CH	7	GN	4	41.5
8	1	1	1	2	1	10	1	11	-0.258732	0.000099	-0.004164	0.000001	16.09474	2952	20480200_211134	CH	8	GN	4	41.5
9	1	1	1	3	1	5	1	7	-162.5776	0	-1.824954	0	11.22512	4434	20480200_211136	CH	1	GN	1	41.8
10	1	1	1	3	1	7	1	9	-34.87848	0.012888	-0.391515	0.000144	11.22512	4434	20480200_211136	CH	2	GN	2	41.8
11	1	1	1	3	1	9	1	11	-1.384265	0.000402	-0.015538	0.000004	11.22512	4434	20480200_211136	CH	3	GN	3	41.8
12	1	1	1	3	1	11	1	13	-2.385831	0.000569	-0.026781	0.000006	11.22512	4434	20480200_211136	CH	4	GN	3	41.8
13	1	1	1	3	1	13	1	15	-0.844289	0.000201	-0.009477	0.000002	11.22512	4434	20480200_211136	CH	5	GN	3	41.8
14	1	1	1	3	1	15	1	17	-0.74796	0	-0.008395	0	11.22512	4434	20480200_211136	CH	6	GN	4	41.8
15	1	1	1	3	1	17	1	19	-0.245891	0	-0.00276	0	11.22512	4434	20480200_211136	CH	7	GN	3	41.8
16	1	1	1	3	1	19	1	21	-0.235556	0.000087	-0.002644	0	11.22512	4434	20480200_211136	CH	8	GN	4	41.8
17	1	2	1	3	1	4	1	5	-448.9707	0.173496	-3.668256	0.001417	8.170371	4056	20480200_211138	CH	1	GN	1	26
18	1	2	1	3	1	5	1	6	-68.0826	0.046849	-0.55626	0.000382	8.170371	4056	20480200_211138	CH	2	GN	1	26
19	1	2	1	3	1	6	1	7	-30.99221	0.008853	-0.253217	0.000072	8.170371	4056	20480200_211138	CH	3	GN	2	26
20	1	2	1	3	1	7	1	8	-14.32382	0.008853	-0.11703	0.000072	8.170371	4056	20480200_211138	CH	4	GN	2	26
21	1	2	1	3	1	8	1	9	-4.761878	0.002213	-0.038906	0.000018	8.170371	4056	20480200_211138	CH	5	GN	3	26
22	1	2	1	3	1	9	1	10	-0.441503	0.000218	-0.003607	0.000001	8.170371	4056	20480200_211138	CH	6	GN	4	26
23	1	2	1	3	1	10	1	11	-0.249616	0.000119	-0.002039	0	8.170371	4056	20480200_211138	CH	7	GN	4	26
