32#	Number	of	sensors
#x	z			
0	0.06			
0.1	0.15			
0.15	0.2			
0.24	0.22			
0.36	0.22			
0.43	0.19			
0.51	0.13			
0.57	0.04			
0.74	0.04			
0.82	0.12			
0.93	0.19			
1	0.23			
1.1	0.22			
1.19	0.17			
1.24	0.11			
1.33	0.02			
1.5	0.02			
1.56	0.11			
1.63	0.15			
1.68	0.2			
1.85	0.21			
1.93	0.15			
2	0.1			
2.08	0.04			
2.22	0.05			
2.33	0.12			
2.39	0.2			
2.46	0.25			
2.59	0.26			
2.66	0.2			
2.72	0.13			
2.79	0.04			
1342#	Number	of	data					
#a	b	m	n	R	err			
1	2	3	4	-840.1374	0.222768	
1	2	4	5	-329.9721	0		
1	2	5	6	-86.26525	-0.00123	
1	2	6	7	-45.9439	-0.000307	
1	2	7	8	-18.74359	0		
1	2	8	9	-11.66242	0		
1	2	9	10	-0.809263	0		
1	2	10	11	-0.496121	0.000108	
1	3	5	7	-319.1879	0		
1	3	7	9	-57.24341	0		
1	3	9	11	-2.110303	0		
1	3	11	13	-2.901825	0.000951	
1	3	13	15	-0.810356	0		
1	3	15	17	-1.083211	0.000475	
1	3	17	19	-0.309469	0.000291	
1	3	19	21	-0.227324	0.000102	
2	3	4	5	-754.9147	0.163639	
2	3	5	6	-128.9428	0		
2	3	6	7	-57.32492	0.014463	
2	3	7	8	-17.62951	0		
2	3	8	9	-9.126716	0.002556	
2	3	9	10	-0.507594	0		
2	3	10	11	-0.293722	0.000225	
2	3	11	12	-0.494915	0		
1	4	7	10	-158.1502	0.111738	
1	4	10	13	-7.446604	0.004938	
1	4	13	16	-2.237827	0.002276	
1	4	16	19	-1.945217	0.001745	
1	4	19	22	-0.47522	0.000138	
1	4	22	25	-0.946957	0.00039		
1	4	25	28	-0.257213	0.000543	
1	4	28	31	-0.201944	0.000316	
2	4	6	8	-485.8715	0.409873	
2	4	8	10	-41.33968	0.030618	
2	4	10	12	-2.987826	0.003921	
2	4	12	14	-2.639163	0.001482	
2	4	14	16	-1.042344	0.000524	
2	4	16	18	-1.124241	0.001003	
2	4	18	20	-0.296488	0.001518	
2	4	20	22	-0.095624	0.001567	
3	4	5	6	-1126.713	1.46574		
3	4	6	7	-342.8273	0.35838		
3	4	7	8	-68.00038	0.054027	
3	4	8	9	-30.2198	0.025269	
3	4	9	10	-1.474627	0.001399	
3	4	10	11	-0.858074	0.001175	
3	4	11	12	-1.354279	0.001367	
3	4	12	13	-1.543595	0.000731	
1	5	9	13	-20.80994	0.015907	
1	5	13	17	-6.607723	0.00941		
1	5	17	21	-1.652828	0.001988	
1	5	21	25	-1.683898	0.001333	
1	5	25	29	-0.583578	0.001018	
2	5	8	11	-120.815	0.061188	
2	5	11	14	-10.67382	0.006623	
2	5	14	17	-4.340818	0.002704	
2	5	17	20	-0.988678	0.00169		
2	5	20	23	-0.590807	0.000413	
2	5	23	26	-1.142281	0.000478	
2	5	26	29	-0.365922	0.001725	
2	5	29	32	-0.140766	0.001774	
3	5	7	9	-367.4072	0.355471	
3	5	9	11	-7.262129	0.006297	
3	5	11	13	-8.531797	0.005554	
3	5	13	15	-2.205559	0.002516	
3	5	15	17	-2.488568	0.002347	
3	5	17	19	-0.611563	0.000753	
3	5	19	21	-0.499452	0.000694	
3	5	21	23	-0.215709	0.000314	
4	5	6	7	-1321.392	1.8139		
4	5	7	8	-195.3134	0.249239	
4	5	8	9	-73.21329	0.086586	
4	5	9	10	-3.247152	0.006973	
4	5	10	11	-1.71224	0.006745	
4	5	11	12	-2.642704	0.009941	
4	5	12	13	-2.964666	0.006262	
4	5	13	14	-0.55566	0.003126	
2	6	10	14	-25.8361	0.009985	
2	6	14	18	-8.353282	0.004323	
2	6	18	22	-1.480085	0.000624	
2	6	22	26	-2.22377	0.000882	
2	6	26	30	-0.579943	0.000156	
3	6	9	12	-24.26568	0.01354		
3	6	12	15	-13.06739	0.002763	
3	6	15	18	-5.300635	0.002763	
3	6	18	21	-1.215999	0.001292	
3	6	21	24	-1.119106	0.000244	
3	6	24	27	-1.141326	0.000345	
3	6	27	30	-0.40138	0.000323	
4	6	8	10	-229.3353	0.309103	
4	6	10	12	-11.54798	0.015694	
4	6	12	14	-8.668301	0.011097	
4	6	14	16	-3.167608	0.004154	
4	6	16	18	-2.989177	0.004265	
4	6	18	20	-0.589289	0.001038	
4	6	20	22	-0.466272	0.000381	
4	6	22	24	-0.764597	0.000887	
5	6	7	8	-514.4005	1.334536	
5	6	8	9	-146.7262	0.170977	
5	6	9	10	-5.829405	0.007106	
5	6	10	11	-3.003749	0.00385		
5	6	11	12	-4.220512	0.004445	
5	6	12	13	-4.307786	0.005133	
5	6	13	14	-0.795027	0.001047	
5	6	14	15	-1.118974	0.0012		
3	7	11	15	-30.57296	0		
3	7	15	19	-7.967579	-0.000025	
3	7	19	23	-1.799497	0.000411	
3	7	23	27	-2.529066	0.000823	
3	7	27	31	-0.727709	0		
4	7	10	13	-29.64323	0.015873	
4	7	13	16	-6.870844	0.005952	
4	7	16	19	-4.978058	0.002806	
4	7	19	22	-1.158881	0.000928	
4	7	22	25	-2.135748	0.001856	
4	7	25	28	-0.463652	0		
4	7	28	31	-0.503972	0.000813	
5	7	9	11	-18.78589	0.018118	
5	7	11	13	-16.15657	0.014986	
5	7	13	15	-3.648975	0.002939	
5	7	15	17	-3.937083	0.003446	
5	7	17	19	-0.946071	0.000636	
5	7	19	21	-0.651902	0.000259	
5	7	21	23	-0.404758	0.000846	
5	7	23	25	-1.246734	0.001643	
6	7	8	9	-194.4043	0.058583	
6	7	9	10	-6.737918	0.002589	
6	7	10	11	-3.19198	0		
6	7	11	12	-3.842261	0		
6	7	12	13	-3.766825	-0.000001	
6	7	13	14	-0.712787	0.000361	
6	7	14	15	-0.991687	0.00056		
6	7	15	16	-0.607549	0.00028		
4	8	12	16	-38.65021	0.031922	
4	8	16	20	-9.157144	0.006032	
4	8	20	24	-2.805253	0.002718	
4	8	24	28	-2.146482	0.001768	
4	8	28	32	-0.944885	0.001099	
