32#	Number	of	sensors																	
#	x	z																		
0	0.06																			
0.1	0.15																			
0.15	0.2																			
0.24	0.22																			
0.36	0.22																			
0.43	0.19																			
0.51	0.13																			
0.57	0.04																			
0.74	0.04																			
0.82	0.12																			
0.93	0.19																			
1	0.23																			
1.1	0.22																			
1.19	0.17																			
1.24	0.11																			
1.33	0.02																			
1.5	0.02																			
1.56	0.11																			
1.63	0.15																			
1.68	0.2																			
1.85	0.21																			
1.93	0.15																			
2	0.1																			
2.08	0.04																			
2.22	0.05																			
2.33	0.12																			
2.39	0.2																			
2.46	0.25																			
2.59	0.26																			
2.66	0.2																			
2.72	0.13																			
2.79	0.04																			
1342#	Number	of	data																	
#a	b	m	n	R	err															
1	2	3	4	-595.8267	0.246696															
1	2	4	5	-185.731	0.123348															
1	2	5	6	-80.12557	0.073406															
1	2	6	7	-27.40813	0.020876															
1	2	7	8	-13.96421	0.009952															
1	2	8	9	-9.469704	0.006294															
1	2	9	10	-0.656991	0.000461															
1	2	10	11	-0.136837	0.00023															
1	3	5	7	-236.9708	-0.006926															
1	3	7	9	-56.02051	-0.000432															
1	3	9	11	-1.998579	0															
1	3	11	13	-2.869451	-0.000001															
1	3	13	15	-1.286911	0.000432															
1	3	15	17	-1.21714	0															
1	3	17	19	-0.319253	0.000296															
1	3	19	21	-0.202143	0.000291															
2	3	4	5	-493.0847	0.533824															
2	3	5	6	-87.30116	0.020592															
2	3	6	7	-41.83692	0.017833															
2	3	7	8	-20.44171	0.005148															
2	3	8	9	-12.10312	0.005148															
2	3	9	10	-0.772734	0.000227															
2	3	10	11	-0.430327	0.000394															
2	3	11	12	-0.394479	0															
1	4	7	10	-158.5111	0.127573															
1	4	10	13	-6.207292	0.002944															
1	4	13	16	-4.219624	0.00636															
1	4	16	19	-2.040685	0.002404															
1	4	19	22	-0.511581	0.000212															
1	4	22	25	-1.005702	0.0003															
1	4	25	28	-0.255468	0.000654															
1	4	28	31	-0.20725	0.000356															
2	4	6	8	-367.3159	0.275215															
2	4	8	10	-47.20698	0.034401															
2	4	10	12	-1.612404	0															
2	4	12	14	-4.134052	0.003889															
2	4	14	16	-2.097285	0.002425															
2	4	16	18	-1.3106		0.001375															
2	4	18	20	-0.269993	0.000689															
2	4	20	22	-0.224609	0.000704															
3	4	5	6	-1353.935	2.635474															
3	4	6	7	-238.1869	0.230342															
3	4	7	8	-66.80533	0.075682															
3	4	8	9	-32.85341	0.032482															
3	4	9	10	-1.447776	0.001213															
3	4	10	11	-0.383996	0.000395															
3	4	11	12	-0.410917	0.000345															
3	4	12	13	-1.971276	0.001435															
1	5	9	13	-17.63782	0.005219															
1	5	13	17	-9.677947	0.008253															
1	5	17	21	-1.456972	0.00122															
1	5	21	25	-1.856767	0.001031															
1	5	25	29	-0.497992	0.000431															
2	5	8	11	-116.7065	0.054485															
2	5	11	14	-10.52775	0.003932															
2	5	14	17	-6.086857	0.004815															
2	5	17	20	-0.895087	0.000951															
2	5	20	23	-0.733132	0.000491															
2	5	23	26	-1.185562	0.000491															
2	5	26	29	-0.282015	0.000605															
2	5	29	32	-0.240382	0.000742															
3	5	7	9	-325.5532	0.451895															
3	5	9	11	-5.85018	0.003375															
3	5	11	13	-6.96141	0.003774															
3	5	13	15	-4.266643	0.00492											
3	5	15	17	-2.863391	0.002668										
3	5	17	19	-0.549495	0.000699										
3	5	19	21	-0.376354	0.000723										
3	5	21	23	-0.345639	0.000683										
4	5	6	7	-775.7872	0.974717										
4	5	7	8	-161.8503	0.324578										
4	5	8	9	-64.53363	0.081878										
4	5	9	10	-3.015683	0.003868										
4	5	10	11	-1.019871	0.00143											
4	5	11	12	-1.750716	0.001743										
4	5	12	13	-2.818269	0.003553										
4	5	13	14	-1.010886	0.001159										
2	6	10	14	-31.10458	0.010026										
2	6	14	18	-10.72149	0.004341										
2	6	18	22	-1.77368	0.000626										
2	6	22	26	-2.59852	0.001085										
2	6	26	30	-0.663031	0.000313										
3	6	9	12	-30.84651	0.022762										
3	6	12	15	-16.44315	0.012724										
3	6	15	18	-6.174591	0.005509										
3	6	18	21	-1.257833	0.001124										
3	6	21	24	-1.458905	0.000871										
3	6	24	27	-1.263588	0.000711										
3	6	27	30	-0.438587	0.00047											
4	6	8	10	-292.9736	0.439348										
4	6	10	12	-15.41767	0.023417										
4	6	12	14	-9.937254	0.01287											
4	6	14	16	-4.073647	0.00507											
4	6	16	18	-3.231429	0.004628										
4	6	18	20	-0.708556	0.000944										
4	6	20	22	-0.548122	0.001013										
4	6	22	24	-0.90788	0.001034										
5	6	7	8	-759.7113	1.372864										
5	6	8	9	-215.1732	0.225263										
5	6	9	10	-10.18938	0.011597										
5	6	10	11	-4.129007	0.005237										
5	6	11	12	-8.543289	0.010304										
5	6	12	13	-5.290502	0.004608										
5	6	13	14	-0.800679	0											
5	6	14	15	-1.243564	0											
3	7	11	15	-37.73962	0											
3	7	15	19	-8.656167	0											
3	7	19	23	-1.965202	0											
3	7	23	27	-2.72405	0											
3	7	27	31	-0.757487	0											
4	7	10	13	-36.04814	0.029151										
4	7	13	16	-7.604447	0.004858										
4	7	16	19	-5.09277	0.004028										
4	7	19	22	-1.252946	0.00096											
4	7	22	25	-2.344517	0.002272										
4	7	25	28	-0.50076	0.000185										
4	7	28	31	-0.525471	0.000661										
5	7	9	11	-25.34732	0.023051										
5	7	11	13	-23.30495	0.018821										
5	7	13	15	-3.203872	0.001176										
5	7	15	17	-4.183883	0.001663										
5	7	17	19	-1.065994	0.00072											
5	7	19	21	-0.699122	0.00036											
5	7	21	23	-0.532042	0.00036											
5	7	23	25	-1.441172	0.001176										
6	7	8	9	-173.441	0.075459										
6	7	9	10	-7.959829	0.004716										
6	7	10	11	-3.059707	0.001667										
6	7	11	12	-6.052046	0.002358										
6	7	12	13	-3.405724	0.001667										
6	7	13	14	-0.432004	0											
6	7	14	15	-0.715555	0.00038											
6	7	15	16	-0.540879	0.00038											
4	8	12	16	-44.75582	0.03383											
4	8	16	20	-9.56377	0.00765											
4	8	20	24	-3.169604	0.002385										
4	8	24	28	-2.297185	0.001912										
4	8	28	32	-0.998419	0.00108											
5	8	11	14	-69.63217	0.037157										
5	8	14	17	-15.63005	0.004644										
5	8	17	20	-2.540336	0.001642										
5	8	20	23	-1.517238	0.00058											
5	8	23	26	-2.654762	0.001536										
5	8	26	29	-0.547459	0.000205										
5	8	29	32	-0.612466	0.000458										
6	8	10	12	-51.23469	-0.000281										
6	8	12	14	-22.88603	0.009											
6	8	14	16	-7.834363	0											
6	8	16	18	-4.811047	-0.000004										
6	8	18	20	-0.824382	0.001125										
6	8	20	22	-0.673356	0.001348										
6	8	22	24	-1.021803	0.000628										
6	8	24	26	-0.995806	0.000628										
7	8	9	10	-50.97388	0.03582											
7	8	10	11	-15.99508	0.0054											
7	8	11	12	-25.95878	-0.000337										
7	8	12	13	-15.8488	-0.000084										
7	8	13	14	-3.12064	-0.00001										
7	8	14	15	-4.19444	0.000954										
7	8	15	16	-2.361051	0.000675										
7	8	16	17	-2.89009	-0.000005										
5	9	13	17	-72.68499	0.042408										
5	9	17	21	-6.665358	0.00237											
5	9	21	25	-6.603698	0.002903										
5	9	25	29	-1.450603	0.000725										
6	9	12	15	-145.2175	0.091095										
6	9	15	18	-28.59696	0.017215										
6	9	18	21	-3.354076	0.001521										
6	9	21	24	-3.455789	0.001317										
6	9	24	27	-2.5829		0.001317											
6	9	27	30	-0.780409	0											
7	9	11	13	-304.952	0.299057										
7	9	13	15	-40.50822	0.015939										
7	9	15	17	-24.72969	0.005635										
7	9	17	19	-3.128191	0											
7	9	19	21	-1.776307	0.000498										
7	9	21	23	-1.56493	0.000704										
7	9	23	25	-3.059641	0.000704										
7	9	25	27	-0.527737	0.000176										
8	9	10	11	-151.3408	0.044328										
8	9	11	12	-178.5598	0.062689										
8	9	12	13	-84.15969	0											
8	9	13	14	-14.41031	-0.000086										
8	9	14	15	-18.74275	-0.000173										
8	9	15	16	-9.696544	-0.000043										
8	9	16	17	-9.76525	0.00277											
8	9	17	18	-1.406278	0.000692										
6	10	14	18	-90.60998	0.040759										
6	10	18	22	-5.669056	0.002079										
6	10	22	26	-6.053904	0.002941										
6	10	26	30	-1.218629	0											
7	10	13	16	-100.3318	-0.009829										
7	10	16	19	-23.86366	-0.000307										
7	10	19	22	-3.542977	0.000868										
7	10	22	25	-4.940858	0											
7	10	25	28	-0.845115	0											
7	10	28	31	-0.82036	0.000217										
8	10	12	14	-236.7414	0.055263										
8	10	14	16	-59.28146	0.013815										
8	10	16	18	-18.79419	0.006907										
8	10	18	20	-1.684646	0.001881										
8	10	20	22	-2.495173	0.00259											
8	10	22	24	-2.223291	0.000863										
8	10	24	26	-1.831015	0.000431										
8	10	26	28	-0.334346	0											
9	10	11	12	-417.9355	0.186002										
9	10	12	13	-120.8016	0.053694										
9	10	13	14	-16.92445	0.00822											
9	10	14	15	-21.03041	0.011625										
9	10	15	16	-9.700829	0.004745										
9	10	16	17	-6.986698	0.004745										
9	10	17	18	-0.623855	0.000646										
9	10	18	19	-0.462499	0.000331										
7	11	15	19	-72.70606	0.079764										
7	11	19	23	-6.016934	0.005958										
7	11	23	27	-5.538364	0.005493										
7	11	27	31	-1.167195	0.000815										
8	11	14	17	-140.9249	0.188935										
8	11	17	20	-4.461311	0.006481										
8	11	20	23	-5.291519	0.008665										
8	11	23	26	-4.190736	0.006685										
8	11	26	29	-0.669038	0.001181										
8	11	29	32	-0.670419	0.000818										
9	11	13	15	-111.0551	0.160791										
9	11	15	17	-42.61608	0.076603										
9	11	17	19	-2.362266	0.007515										
