Date	ETo	R	I
10-apr-2018	2.05	0.2	
11-apr-2018	1.41	0	
12-apr-2018	0.85	0	
13-apr-2018	1.56	0	
14-apr-2018	1.66	0	
15-apr-2018	2.07	0	
16-apr-2018	2.36	0.2	
17-apr-2018	2.64	0.4	
18-apr-2018	2.73	0.2	
19-apr-2018	3.3	1	
20-apr-2018	3.74	0.2	
21-apr-2018	3.26	0	
22-apr-2018	3.33	0	
23-apr-2018	3.54	4	
24-apr-2018	2.09	11.4	
25-apr-2018	2.7	5.6	
26-apr-2018	3.22	0	
27-apr-2018	2.2	2.2	
28-apr-2018	2	0	
29-apr-2018	1.11	0	
30-apr-2018	1.23	0	
1-may-2018	2.58	0	
2-may-2018	3.16	0	
3-may-2018	3.06	0	
4-may-2018	3.47	1.2	
5-may-2018	4.17	0	
6-may-2018	4.4	0	
7-may-2018	4.3	0	
8-may-2018	4.21	0	
9-may-2018	4.24	0	
10-may-2018	2.95	0	
11-may-2018	3	0	
12-may-2018	2.57	0	
13-may-2018	1.69	7.6	
14-may-2018	2.42	2.8	
15-may-2018	4.02	0	
16-may-2018	3.41	3.6	
17-may-2018	3.49	0	
18-may-2018	2.76	0	
19-may-2018	2.12	0	
20-may-2018	3.08	0.8	
21-may-2018	2.69	1.1	
22-may-2018	2.92	0	
23-may-2018	2.32	0	
24-may-2018	3.58	5.5	
25-may-2018	2.91	10	
26-may-2018	4.09	12	
27-may-2018	3.85	10.5	
28-may-2018	4.27	0	
29-may-2018	3.18	0	
30-may-2018	4.43	0	
31-may-2018	3.32	0	
1-jun-2018	1.23	0	
2-jun-2018	2.09	3	
3-jun-2018	3.58	0	
4-jun-2018	3.73	0	
5-jun-2018	2.99	0	
6-jun-2018	4.25	0	
7-jun-2018	2.63	7	
8-jun-2018	2.37	0.3	
9-jun-2018	3.29	0	
10-jun-2018	3.99	0	
11-jun-2018	3.97	0	
12-jun-2018	2.8	0	
13-jun-2018	3.08	0	25
14-jun-2018	3	0.3	
15-jun-2018	3.55	0	
16-jun-2018	3.97	0	
17-jun-2018	3.28	0	
18-jun-2018	3.02	0.1	
19-jun-2018	1.37	0.2	
20-jun-2018	4.13	0	
21-jun-2018	4.3	0	
22-jun-2018	3.57	0	30
23-jun-2018	3.33	0	
24-jun-2018	3.25	0	
25-jun-2018	3.99	0	
26-jun-2018	4.19	0	
27-jun-2018	4.51	0	
28-jun-2018	5.41	0	27
29-jun-2018	6.07	0	
30-jun-2018	5.61	0	
1-jul-2018	7.4	0	
2-jul-2018	7.03	0	
3-jul-2018	5.62	0	27
4-jul-2018	4.23	0.1	
5-jul-2018	4.86	0	
6-jul-2018	4.82	0	
7-jul-2018	4.59	0	
8-jul-2018	5.23	0	
9-jul-2018	4.17	0	
10-jul-2018	3.1	0	
11-jul-2018	3.95	0	
12-jul-2018	4.33	0	27
13-jul-2018	4.01	0	
14-jul-2018	4.69	0	
15-jul-2018	4.92	0	
16-jul-2018	4.52	0	
17-jul-2018	4.92	0	
18-jul-2018	3.89	0	
19-jul-2018	4.22	0	27
20-jul-2018	4.03	0	
21-jul-2018	5.33	0	
22-jul-2018	4.87	0	
23-jul-2018	4.56	0	
24-jul-2018	4.95	4.8	
25-jul-2018	5.84	3	27
26-jul-2018	5.47	0	
27-jul-2018	5.41	0	
28-jul-2018	5.34	0	
29-jul-2018	4.39	0	
30-jul-2018	4.38	0	
31-jul-2018	4.52	0	
1-aug-2018	4.11	0	
2-aug-2018	5.02	0	
3-aug-2018	5.34	0	
4-aug-2018	5.12	0	
5-aug-2018	4.84	0	
6-aug-2018	4.63	0	
7-aug-2018	4.62	0	
8-aug-2018	4.52	6.1	
9-aug-2018	2.24	7.3	
10-aug-2018	3.78	1.1	
